te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0.831,0.755,0.779,0.55,0.495,0.495,0.512,0.492,0.494,0.617,0.554,0.571,0.526,0.487,0.477,0,0.119,0.098,0.831,0.766,0.789,0.551,0.483,0.483,0.512,0.488,0.491
0.885,0.864,0.885,0.619,0.564,0.564,0.621,0.559,0.561,0.624,0.641,0.639,0.823,0.604,0.626,0.119,0,0.025,0.884,0.87,0.89,0.624,0.553,0.553,0.621,0.558,0.561
0.881,0.86,0.883,0.575,0.522,0.522,0.578,0.51,0.513,0.608,0.601,0.623,0.811,0.561,0.539,0.098,0.025,0,0.88,0.866,0.888,0.578,0.514,0.514,0.578,0.505,0.509
0,0.413,0.418,0.852,0.783,0.783,0.782,0.837,0.838,0.637,0.635,0.631,0.831,0.644,0.661,0.831,0.884,0.88,0,0.434,0.438,0.851,0.774,0.774,0.782,0.838,0.839
0.435,0.009,0.012,0.649,0.714,0.714,0.533,0.839,0.839,0.485,0.495,0.489,0.577,0.469,0.498,0.766,0.87,0.866,0.434,0,0.003,0.654,0.708,0.708,0.533,0.849,0.849
0.439,0.013,0.009,0.695,0.779,0.779,0.578,0.9,0.901,0.526,0.538,0.531,0.584,0.514,0.542,0.789,0.89,0.888,0.438,0.003,0,0.7,0.773,0.773,0.579,0.91,0.911
0.852,0.674,0.723,0.003,0.128,0.128,0.058,0.118,0.119,0.104,0.087,0.1,0.79,0.096,0.108,0.551,0.624,0.578,0.851,0.654,0.7,0,0.116,0.116,0.059,0.129,0.13
0.775,0.711,0.779,0.121,0.008,0.008,0.115,0.051,0.047,0.156,0.131,0.144,0.779,0.121,0.137,0.483,0.553,0.514,0.774,0.708,0.773,0.116,0,0,0.114,0.054,0.049
0.775,0.711,0.779,0.121,0.008,0.008,0.115,0.051,0.047,0.156,0.131,0.144,0.779,0.121,0.137,0.483,0.553,0.514,0.774,0.708,0.773,0.116,0,0,0.114,0.054,0.049
0.784,0.551,0.599,0.062,0.133,0.133,0,0.109,0.111,0.047,0.026,0.035,0.692,0.026,0.045,0.512,0.621,0.578,0.782,0.533,0.579,0.059,0.114,0.114,0,0.12,0.122
0.838,0.849,0.913,0.139,0.074,0.074,0.12,0.002,0.002,0.168,0.138,0.156,0.826,0.149,0.147,0.488,0.558,0.505,0.838,0.849,0.91,0.129,0.054,0.054,0.12,0,0
0.839,0.849,0.914,0.139,0.068,0.068,0.122,0.002,0.002,0.171,0.141,0.158,0.826,0.15,0.149,0.491,0.561,0.509,0.839,0.849,0.911,0.13,0.049,0.049,0.122,0,0
