DMUs,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
105102,2016,0.14,0.11,0.19,0.16,0.18,0.0
109103,2016,0.11,0.12,0.06,0.07,0.05,0.0
121109,2016,0.63,0.82,0.7,0.71,0.47,0.09
123100,2016,0.37,0.33,0.34,0.31,0.32,0.0
113180,2016,0.24,0.2,0.31,0.25,0.21,0.0
117101,2016,0.43,0.37,0.43,0.34,0.42,0.0
106103,2016,0.1,0.11,0.19,0.14,0.1,0.0
105100,2016,0.25,0.26,0.29,0.29,0.29,0.0
107101,2016,0.17,0.17,0.23,0.21,0.19,0.0
102100,2016,0.39,0.28,0.37,0.21,0.27,0.04
118100,2016,0.82,0.84,0.68,0.8,0.52,0.12
117102,2016,0.1,0.08,0.15,0.09,0.16,0.0
109101,2016,0.27,0.19,0.17,0.12,0.15,0.0
129100,2016,0.13,0.08,0.16,0.08,0.12,0.11
108100,2016,0.15,0.11,0.23,0.12,0.21,0.0
116108,2017,0.19,0.14,0.3,0.21,0.24,0.0
117102,2017,0.11,0.09,0.14,0.08,0.13,0.13
117101,2017,0.43,0.38,0.42,0.35,0.38,0.02
102100,2017,0.42,0.31,0.38,0.22,0.43,0.01
111100,2017,0.58,0.8,0.54,0.61,0.37,0.11
103101,2017,0.14,0.13,0.17,0.11,0.07,0.0
112105,2017,0.01,0.01,0.08,0.0,0.0,0.0
114101,2017,0.91,0.83,0.9,0.67,0.73,0.17
116105,2017,0.55,0.51,0.5,0.61,0.42,0.0
123100,2017,0.37,0.32,0.34,0.35,0.34,0.0
114103,2017,0.39,0.32,0.41,0.47,0.25,0.02
118100,2017,0.84,0.9,0.68,0.66,0.59,0.71
114105,2017,0.42,0.53,0.34,0.18,0.26,0.05
113180,2017,0.25,0.18,0.31,0.27,0.21,0.0
119101,2017,0.07,0.04,0.08,0.1,0.07,0.13
103100,2017,0.44,0.46,0.39,0.28,0.36,0.0
126100,2017,0.34,0.33,0.26,0.17,0.2,0.0
122100,2017,0.4,0.53,0.43,0.44,0.36,0.04
111101,2017,0.47,0.45,0.38,0.43,0.21,0.08
112101,2017,0.21,0.17,0.34,0.02,0.19,0.0
110150,2017,0.13,0.08,0.15,0.13,0.15,0.01
115100,2017,0.49,0.58,0.4,0.41,0.4,0.1
115107,2017,0.12,0.13,0.2,0.11,0.16,0.0
119100,2017,0.43,0.48,0.44,0.45,0.38,0.0
113100,2017,0.66,0.67,0.63,0.86,0.55,0.09
116100,2017,0.23,0.26,0.3,0.47,0.31,0.01
113130,2017,0.18,0.14,0.15,0.08,0.13,0.0
106103,2017,0.11,0.1,0.17,0.15,0.1,0.0
118105,2017,0.1,0.04,0.15,0.14,0.11,0.27
111195,2017,0.46,0.41,0.18,0.2,0.17,0.06
118106,2017,0.08,0.04,0.1,0.11,0.06,0.24
101100,2017,0.28,0.27,0.35,0.25,0.28,0.05
110110,2017,0.06,0.12,0.07,0.05,0.16,0.0
112106,2017,0.02,0.0,0.02,0.0,0.0,0.0
120101,2017,0.02,0.01,0.55,0.53,0.41,0.07
