IdEstablecimiento","OriginalGRD","Prediction"
114101,1.11817,1.21119970123047
114102,NA,0.932102294786173
114103,1.01698,1.13492254903218
114104,NA,1.03488827845339
114105,1107,1.1296646554805
114204,NA,0.880610464291535
115100,1.21261,1.20528226656148
115101,NA,0.932102294786173
115102,NA,0.932102294786173
115103,NA,0.932102294786173
115104,NA,0.9349321074279
115105,NA,0.932102294786173
115106,NA,0.932102294786173
115107,1.01453,1.01776569435786
115108,NA,0.932102294786173
115109,NA,0.932102294786173
115110,0.88865,0.934459794856435
115111,NA,0.932102294786173
115112,NA,0.932102294786173
115113,NA,0.928385908377319
115114,NA,0.932102294786173
116100,1.04233,1.00540164439774
116101,NA,0.932102294786173
116102,NA,0.932102294786173
116103,NA,0.932102294786173
116104,NA,0.932102294786173
116105,1.20694,1.15098736145069
116106,NA,0.932128169645707
116107,NA,0.932102294786173
116108,0.99989,1.01770263984806
116109,NA,0.932179921830664
116110,0.79038,0.953951113888998
116111,NA,0.932102294786173
116112,NA,0.932102294786173
117101,1.02677,1.01942779670808
117102,0.88328,0.94346018567748
117103,NA,0.932102294786173
117104,NA,0.932102294786173
117106,NA,0.932102294786173
117107,NA,0.932102294786173
117108,NA,0.932102294786173
118100,1.30644,1.24126530968385
118103,NA,0.945220180616517
118105,0.76297,0.932102294786173
118106,NA,0.932257556268243
118107,NA,0.932102294786173
118108,NA,0.932102294786173
119100,1.14672,1.09135876262642
119101,NA,0.934564034622668
119102,NA,0.942069650177733
120101,1.09665,1.0964725247713
120102,NA,0.932102294786173
120103,NA,0.932102294786173
120104,NA,0.932102294786173
120105,NA,0.932102294786173
120106,NA,0.932102294786173
120107,NA,0.932102294786173
121109,1.1963,1.14184660947039
121110,0.81658,0.952081083479616
121111,NA,0.932102294786173
121112,NA,0.932102294786173
121113,NA,0.932102294786173
121114,0.93597,0.959121553328513
121115,NA,0.932102294786173
121116,NA,0.932102294786173
121117,0.91662,0.963930712777497
121118,NA,0.932102294786173
121119,NA,0.932102294786173
121120,NA,0.932102294786173
121121,0.63268,0.932102294786173
121200,NA,0.932102294786173
121201,NA,0.932102294786173
122100,1.10497,1.08240701936504
122101,NA,0.932102294786173
122102,NA,0.932102294786173
122103,NA,0.932102294786173
122104,NA,0.932102294786173
122105,NA,0.932102294786173
122106,NA,0.932102294786173
122200,NA,0.932102294786173
122201,NA,0.932102294786173
123100,1.08681,1.01362248125035
123101,NA,0.932102294786173
123102,NA,0.932102294786173
123103,NA,0.932102294786173
123104,NA,0.932102294786173
123105,NA,0.932102294786173
124105,1.1177,1.14835115289526
124110,NA,0.932102294786173
124115,NA,0.932102294786173
124120,NA,0.932102294786173
124125,NA,0.932102294786173
124130,NA,0.932102294786173
124140,NA,0.932102294786173
124145,NA,0.932102294786173
124210,NA,0.880610464291535
124380,NA,0.932102294786173
125100,1.03962,0.992571074181856
125101,NA,0.932102294786173
125102,NA,0.932102294786173
125103,NA,0.932102294786173
125104,NA,0.932102294786173
126100,1.11001,1.07864931796646
126101,NA,0.939099064268462
126102,NA,0.932102294786173
126204,NA,0.880610464291535
126704,NA,0.932102294786173
128109,0.92201,0.932102294786173
128110,NA,0.932102294786173
128111,NA,0.932102294786173
128112,NA,0.932102294786173
128113,NA,0.933987727388128
129100,0.95318,0.947524708822997
129101,NA,0.932102294786173
129103,NA,0.932102294786173
129104,NA,0.932102294786173
129106,1.01785,0.974983324086887
129107,NA,0.932102294786173
129108,NA,0.932102294786173
133150,1.02058,1.03124608860075
133155,NA,0.937041482376783
133160,NA,0.932102294786173
133165,NA,0.932102294786173
133170,NA,0.932102294786173
200076,NA,0.932102294786173
200282,NA,0.932141107383767
200705,NA,0.880610464291535
200714,NA,0.880610464291535
200717,NA,0.981505042431172
200726,NA,0.880610464291535
200727,NA,0.880610464291535
200867,NA,0.880610464291535
200868,NA,0.880610464291535
200889,NA,0.880610464291535
201084,NA,0.880610464291535
201319,NA,0.880610464291535
