"","IdEstablecimiento","OriginalGRD","Prediction"
"76",114103,0.91219,0.940860501994878
"77",114104,-,1.11388400692801
"78",114105,0.91619,0.944715190522506
"79",114204,-,0.769837008449667
"80",115100,1.06101,1.03248167659795
"81",115101,-,0.73059894511153
"82",115102,-,0.730479444979426
"83",115103,-,0.730305415152194
"84",115104,-,0.735961270825413
"85",115105,-,0.724315255553588
"86",115106,-,0.730404141960233
"87",115107,0.83637,0.803368741841566
"88",115108,-,0.73037868451143
"89",115109,-,0.730400518217318
"90",115110,0.73363,0.762301588622771
"91",115111,-,0.730481536194581
"92",115112,-,0.730138000161525
"93",115113,-,0.730400669086538
"94",115114,-,0.730200405133097
"95",116100,0.85989,0.868487683523858
"96",116101,-,0.730426889587754
"97",116102,-,0.730684261145664
"98",116103,-,0.730337670447918
"99",116104,-,0.730475283342995
"100",116105,1.10166,1.07303865012173
"101",116106,-,0.730427722658052
"102",116107,-,0.721582153605159
"103",116108,0.87035,0.89909211996856
"104",116109,-,0.717559557575791
"105",116110,0.74862,0.769026042585402
"106",116111,-,0.71596430786207
"107",116112,-,0.730381032025033
"108",117101,0.90975,0.881116876851446
"109",117102,0.78991,0.771376601999559
"110",117103,-,0.730392894479044
"111",117104,-,0.730764068951967
"112",117106,-,0.730334994569459
"113",117107,-,0.73042063505477
"114",117108,-,0.730177208381918
"115",118100,1.1799,1.15116619003253
"116",118103,-,0.99573335112026
"117",118105,0.69102,0.732708893691806
"118",118106,-,0.73474144117917
"119",118107,-,0.730469153747092
"120",118108,-,0.730406824177606
"121",119100,0.99895,0.988135211697082
"122",119101,-,0.753550225333839
"123",119102,-,0.741423978304256
"124",120101,0.98837,0.959640446649533
"125",120102,-,0.730370650591695
"126",120103,-,0.730410092721099
"127",120104,-,0.730406788012151
"128",120105,-,0.730500857205113
"129",120106,-,0.730400022552255
"130",120107,-,0.73037883960719
"131",121109,1.10867,1.07991813087614
"132",121110,0.69572,0.725694131170306
"133",121111,-,0.73033298354815
"134",121112,-,0.730349703686816
"135",121113,-,0.730365325675744
"136",121114,0.84928,0.878044479918741
"137",121115,-,0.73020774851286
"138",121116,-,0.730303658274871
"139",121117,0.84282,0.762082629565885
"140",121118,-,0.730326558101042
"141",121119,-,0.730342938200349
"142",121120,-,0.730360358938679
"143",121121,0.62937,0.768518161879818
"144",121200,-,0.729931910077105
"145",121201,-,0.730379192251037
"146",122100,0.99484,1.0021290309715
"147",122101,-,0.730390074089937
"148",122102,-,0.730428898782656
"149",122103,-,0.732594654723483
"150",122104,-,0.737062090698876
"151",122105,-,0.728178666222494
"152",122106,-,0.730421654039626
"153",122200,-,0.73097679621052
"154",122201,-,0.732264923508897
"155",123100,0.94303,0.914456192342932
"156",123101,-,0.725578282540986
"157",123102,-,0.730421654039626
"158",123103,-,0.730775165140963
"159",123104,-,0.730411813761371
"160",123105,-,0.73040525250164
"161",124105,0.99893,0.991051270327129
"162",124110,-,0.732265648461483
"163",124115,-,0.730428959745197
"164",124120,-,0.730451254625912
"165",124125,-,0.730421654039626
"166",124130,-,0.730421654039626
"167",124140,-,0.730424692637446
"168",124145,-,0.730421654039626
"169",124210,-,0.769837008449667
"170",124380,-,0.730430227625603
"171",125100,0.93157,0.900639645436488
"172",125101,-,0.71858675091542
"173",125102,-,0.730405184048488
"174",125103,-,0.730767993901745
"175",125104,-,0.730023873308073
"176",126100,0.99944,0.970768286638363
"177",126101,-,0.741306719676636
"178",126102,-,0.730421918306331
"179",126204,-,0.769837008449667
"180",126704,-,0.730421539335086
"181",128109,0.75965,0.737470919054573
"182",128110,-,0.727647192620776
"183",128111,-,0.741568288954707
"184",128112,-,0.729587922987591
"185",128113,-,0.754755475131688
"186",129100,0.78169,0.81032740429417
"187",129101,-,0.730339559293559
"188",129103,-,0.730198146611447
"189",129104,-,0.730297327255746
"190",129106,0.90198,0.797572874440045
"191",129107,-,0.730173462285739
"192",129108,-,0.730362828847889
"193",133150,0.84436,0.873054891944129
"194",133155,-,0.782876799505455
"195",133160,-,0.730421678645588
"196",133165,-,0.727527661756636
"197",133170,-,0.730421654039626
"198",200076,-,0.730421654039626
"199",200282,-,0.734888093038307
"200",200705,-,0.769837008449667
"201",200714,-,0.769837008449667
"202",200717,-,0.799855206584382
"203",200726,-,0.769837008449667
"204",200727,-,0.769837008449667
"205",200867,-,0.769837008449667
"206",200868,-,0.769837008449667
"207",200889,-,0.769837008449667
"208",201084,-,0.769837008449667
"209",201319,-,0.769837008449667
