DMUs,region,GRD,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
105100,4,0.89,2016,0.25,0.26,0.25,0.28,0.27,0.0
118100,8,1.09,2017,0.86,0.91,0.67,0.63,0.58,0.71
111101,13,0.9,2017,0.47,0.45,0.34,0.43,0.19,0.08
129100,9,0.64,2017,0.12,0.06,0.12,0.08,0.07,0.11
115100,6,1.01,2017,0.5,0.58,0.37,0.39,0.38,0.1
105100,4,0.91,2017,0.27,0.32,0.25,0.23,0.33,0.0
112101,13,0.73,2017,0.2,0.17,0.3,0.0,0.16,0.0
108101,5,0.76,2017,0.12,0.1,0.16,0.1,0.21,0.0
105101,4,0.98,2017,0.28,0.29,0.25,0.18,0.3,0.0
109101,13,1.05,2017,0.27,0.17,0.14,0.11,0.14,0.0
133150,10,0.84,2017,0.17,0.09,0.11,0.1,0.11,0.05
112104,13,1.68,2017,0.1,0.14,0.04,0.05,0.05,0.0
114103,13,0.78,2017,0.39,0.32,0.38,0.46,0.22,0.02
108100,5,0.79,2017,0.15,0.11,0.2,0.12,0.2,0.0
114101,13,0.96,2017,0.93,0.84,0.89,0.64,0.73,0.17
110150,13,0.64,2017,0.12,0.07,0.11,0.12,0.13,0.01
123100,10,0.85,2017,0.37,0.32,0.3,0.34,0.32,0.0
117102,16,0.69,2017,0.1,0.08,0.09,0.08,0.11,0.13
106102,5,1.02,2017,0.1,0.07,0.07,0.13,0.05,0.0
113180,13,0.78,2017,0.25,0.18,0.27,0.27,0.18,0.0
119100,8,0.92,2017,0.43,0.48,0.41,0.44,0.36,0.0
107102,5,0.74,2017,0.14,0.1,0.11,0.07,0.11,0.04
103100,3,0.86,2017,0.44,0.47,0.35,0.26,0.34,0.0
125100,11,0.79,2017,0.29,0.19,0.15,0.16,0.08,0.0
106103,5,0.68,2017,0.1,0.09,0.13,0.14,0.07,0.0
121109,9,1.01,2017,0.66,0.89,0.66,0.64,0.48,0.09
110120,13,0.82,2017,0.37,0.44,0.32,0.28,0.36,0.0
111195,13,1.24,2017,0.46,0.41,0.13,0.19,0.15,0.06
129106,9,0.72,2017,0.12,0.08,0.11,0.09,0.08,0.03
112100,13,1.2,2017,0.38,0.77,0.16,0.39,0.36,0.0
110100,13,1.01,2017,0.55,0.67,0.48,0.82,0.41,0.0
118105,8,0.6,2017,0.1,0.03,0.11,0.13,0.08,0.27
124105,10,0.91,2017,0.58,0.61,0.47,0.36,0.37,0.0
104100,3,0.75,2017,0.25,0.24,0.2,0.14,0.16,0.0
112103,13,1.67,2017,0.11,0.25,0.06,0.11,0.02,0.0
101100,15,0.79,2017,0.28,0.27,0.32,0.24,0.26,0.05
122100,14,0.9,2017,0.41,0.54,0.4,0.43,0.34,0.04
117101,16,0.86,2017,0.44,0.37,0.39,0.33,0.36,0.02
102100,1,0.78,2017,0.42,0.31,0.34,0.21,0.41,0.01
112102,13,1.38,2017,0.23,0.34,0.13,0.2,0.17,0.0
107100,5,1.19,2017,0.51,0.66,0.38,0.38,0.32,0.0
111100,13,0.9,2017,0.59,0.81,0.52,0.6,0.36,0.11
116100,7,0.8,2017,0.23,0.26,0.27,0.47,0.29,0.01
115107,6,0.78,2017,0.11,0.13,0.15,0.11,0.13,0.0
120101,8,0.84,2017,0.01,0.0,0.53,0.52,0.39,0.07
107101,5,0.74,2017,0.17,0.18,0.17,0.22,0.18,0.0
106100,5,1.0,2017,0.48,0.47,0.51,0.29,0.3,0.0
113130,13,1.12,2017,0.17,0.13,0.11,0.07,0.1,0.0
105102,4,0.7,2017,0.15,0.13,0.15,0.16,0.19,0.0
126100,12,0.96,2017,0.34,0.33,0.22,0.16,0.17,0.0
103101,3,0.66,2017,0.14,0.12,0.13,0.1,0.04,0.0
116105,7,1.0,2017,0.56,0.51,0.47,0.59,0.41,0.0
109100,13,0.81,2017,0.54,0.51,0.53,0.9,0.83,0.0
113100,13,0.93,2017,0.67,0.68,0.61,0.84,0.54,0.09
116108,7,0.78,2017,0.19,0.14,0.26,0.2,0.22,0.0
116100,7,0.79,2018,0.23,0.31,0.28,0.46,0.33,0.0
122100,14,0.93,2018,0.42,0.59,0.42,0.46,0.36,0.04
102100,1,0.82,2018,0.45,0.3,0.37,0.23,0.31,0.0
116105,7,1.02,2018,0.61,0.53,0.55,0.68,0.46,0.0
116108,7,0.78,2018,0.19,0.15,0.25,0.21,0.25,0.0
105102,4,0.71,2018,0.17,0.14,0.15,0.18,0.21,0.0
110150,13,0.63,2018,0.12,0.07,0.11,0.12,0.11,0.01
126100,12,0.99,2018,0.36,0.33,0.2,0.17,0.16,0.0
117101,16,0.87,2018,0.46,0.4,0.38,0.36,0.45,0.0
115107,6,0.78,2018,0.12,0.16,0.16,0.12,0.14,0.0
129106,9,0.74,2018,0.13,0.09,0.12,0.11,0.1,0.04
115100,6,1.02,2018,0.56,0.58,0.41,0.44,0.48,0.1
108100,5,0.79,2018,0.15,0.11,0.22,0.14,0.21,0.0
125100,11,0.83,2018,0.29,0.21,0.16,0.2,0.09,0.0
107102,5,0.75,2018,0.15,0.11,0.12,0.08,0.12,0.02
113180,13,0.78,2018,0.26,0.18,0.29,0.27,0.23,0.0
124105,10,0.93,2018,0.62,0.67,0.46,0.4,0.42,0.97
118105,8,0.61,2018,0.1,0.04,0.11,0.14,0.09,0.3
112103,13,1.74,2018,0.11,0.29,0.07,0.11,0.02,0.0
107100,5,1.19,2018,0.53,0.64,0.39,0.36,0.34,0.0
121109,9,1.04,2018,0.66,0.92,0.67,0.77,0.53,0.1
112104,13,1.67,2018,0.1,0.13,0.04,0.05,0.05,0.0
105100,4,0.95,2018,0.29,0.37,0.23,0.19,0.32,0.0
112100,13,1.19,2018,0.39,0.8,0.18,0.43,0.37,0.0
106103,5,0.68,2018,0.11,0.1,0.13,0.16,0.07,0.0
104100,3,0.77,2018,0.26,0.23,0.21,0.16,0.18,0.0
120101,8,0.86,2018,0.01,0.01,0.55,0.58,0.45,0.08
109100,13,0.83,2018,0.56,0.51,0.56,0.96,1.0,0.0
106100,5,1.02,2018,0.5,0.51,0.38,0.28,0.32,0.0
129100,9,0.68,2018,0.13,0.07,0.11,0.08,0.09,0.08
109101,13,1.03,2018,0.28,0.16,0.15,0.12,0.13,0.0
110120,13,0.8,2018,0.37,0.44,0.33,0.3,0.32,0.0
