"IdEstablecimiento","vrs_2014","vrs_2015","vrs_2016","vrs_2017","vrs_2018","vrs_2019","vrs_2020","promedio_vrs"
118108,0.523,0.628,0.614,0.674,0.586,0.523,0.636,0.597714285714286
119100,0.971,0.861,1,1,1,1,1,0.976
119101,0.588,0.561,0.485,0.791,0.752,0.727,0.661,0.652142857142857
119102,0.681,0.673,0.595,0.558,0.584,0.522,0.783,0.628
120101,1,1,1,0.925,0.982,0.997,0.9,0.972
120102,0.348,0.456,0.439,0.488,0.487,0.503,0.593,0.473428571428571
120103,0.389,0.462,0.501,0.499,0.508,0.544,0.527,0.49
120104,0.419,0.532,0.54,0.663,0.595,0.596,0.674,0.574142857142857
120105,0.108,0.181,0.422,0.464,0.471,0.512,0.745,0.414714285714286
120107,0.386,0.4,0.415,0.598,0.579,0.596,0.75,0.532
121109,0.855,0.929,0.911,1,1,1,0.858,0.936142857142857
121110,1,1,1,0.436,0.305,0.412,0.638,0.684428571428571
121111,0.653,0.798,0.781,0.844,0.777,0.691,0.763,0.758142857142857
121112,0.683,0.745,0.742,0.894,0.865,0.852,0.865,0.806571428571429
121113,0.755,1,0.864,0.857,0.629,0.565,0.898,0.795428571428571
121114,0.354,0.464,0.338,0.449,0.543,0.618,0.589,0.479285714285714
121115,0.632,0.845,0.686,0.803,0.67,0.6,0.603,0.691285714285714
121116,0.579,0.678,0.679,0.735,0.725,0.616,0.59,0.657428571428571
121117,0.547,0.51,0.456,0.383,0.337,0.48,0.926,0.519857142857143
121118,0.594,0.7,0.707,0.734,0.753,0.773,0.92,0.740142857142857
121119,0.558,0.677,0.664,0.84,0.743,0.703,0.683,0.695428571428571
121120,0.544,0.622,0.603,0.633,0.63,0.606,0.623,0.608714285714286
121121,0.787,0.608,0.551,0.591,0.394,0.518,0.775,0.603428571428571
122100,0.72,0.699,0.679,0.911,0.907,0.932,0.808,0.808
122101,0.683,0.834,1,1,1,1,0.989,0.929428571428571
122102,0.592,0.792,0.689,0.953,0.921,1,1,0.849571428571429
122103,0.577,0.672,0.927,1,0.532,0.553,0.778,0.719857142857143
122104,0.532,0.69,0.544,0.886,0.599,0.697,1,0.706857142857143
122105,0.75,0.968,0.888,1,0.867,1,1,0.924714285714286
122106,0.667,0.904,0.8,1,1,1,1,0.910142857142857
123100,0.726,0.674,0.731,0.877,0.85,0.807,0.851,0.788
123101,0.496,0.567,0.507,0.609,0.546,0.595,0.671,0.570142857142857
123102,0.665,0.611,0.648,0.72,0.715,0.612,0.683,0.664857142857143
123103,0.577,0.657,0.672,0.729,0.761,0.783,0.851,0.718571428571429
123104,0.881,0.951,0.924,1,0.826,0.776,0.814,0.881714285714286
123105,1,1,1,1,0.899,0.903,0.959,0.965857142857143
124105,0.714,0.752,0.761,0.832,0.86,0.826,0.83,0.796428571428571
124110,1,1,0.712,0.735,0.703,0.694,0.895,0.819857142857143
124115,0.542,0.616,0.617,0.719,0.686,0.649,0.651,0.64
124120,0.494,0.579,0.572,0.647,0.608,0.545,0.558,0.571857142857143
124125,0.605,0.723,0.679,0.717,0.685,0.636,0.623,0.666857142857143
124130,0.356,0.499,0.415,0.379,0.336,0.37,0.608,0.423285714285714
124140,0.804,0.872,0.894,0.967,0.936,0.905,1,0.911142857142857
124145,0.84,0.865,1,0.983,1,1,1,0.955428571428571
125100,0.766,0.647,0.674,0.735,0.692,0.655,0.99,0.737
125101,0.263,0.349,0.352,0.298,0.395,0.433,0.585,0.382142857142857
125102,0.94,1,0.954,0.962,1,0.901,0.828,0.940714285714286
125103,0.791,0.939,1,1,1,0.839,0.825,0.913428571428571
125104,0.821,0.861,0.972,0.946,0.984,0.882,1,0.923714285714286
126100,0.566,0.534,0.55,0.631,0.63,0.596,0.686,0.599
126101,0.371,0.407,0.4,0.353,0.339,0.306,0.695,0.410142857142857
126102,0.501,0.7,0.623,0.549,0.51,0.51,0.644,0.576714285714286
128109,0.7,0.876,0.57,0.611,0.28,0.363,0.887,0.612428571428571
128110,0.438,0.559,0.406,0.49,0.372,0.397,0.633,0.470714285714286
128111,0.47,0.463,0.345,0.375,0.287,0.304,0.708,0.421714285714286
128112,0.585,0.664,0.72,0.755,0.755,0.726,0.873,0.725428571428571
128113,0.438,0.477,0.395,0.361,0.347,0.421,0.595,0.433428571428571
129100,0.582,0.516,0.539,0.872,0.807,0.915,0.714,0.706428571428571
129101,0.497,0.55,0.556,0.619,0.615,0.737,0.756,0.618571428571429
129103,0.347,0.435,0.531,0.552,0.568,0.557,0.703,0.527571428571429
129104,0.347,0.48,0.381,0.417,0.454,0.532,0.712,0.474714285714286
129106,0.49,0.438,0.407,0.573,0.638,0.704,0.799,0.578428571428571
129107,0.489,0.55,0.567,0.59,0.553,0.651,0.755,0.593571428571429
129108,0.551,0.731,0.761,0.739,0.912,0.806,0.791,0.755857142857143
133150,0.728,0.52,0.669,0.762,0.668,0.819,1,0.738
133155,0.508,0.553,0.402,0.437,0.44,0.6,0.874,0.544857142857143
133160,0.716,0.892,0.817,0.791,0.848,0.714,0.645,0.774714285714286
133165,0.525,0.559,0.603,0.512,0.513,0.541,0.864,0.588142857142857
