te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0.442,0.496,0.483,1,0.864,0.879,0.187,0.173,0.175,0.548,0.581,0.568,0.733,0.644,0.704,0.059,0,0.049,0.467,0.508,0.495,0.892,0.792,0.805,0.172,0.169,0.167
0.436,0.489,0.477,0.989,0.852,0.866,0.185,0.172,0.174,0.544,0.572,0.564,0.712,0.634,0.682,0.033,0.049,0,0.459,0.5,0.487,0.883,0.782,0.795,0.174,0.172,0.169
0.06,0.072,0.063,0.695,0.563,0.582,0.389,0.422,0.417,0.187,0.19,0.19,0.369,0.275,0.351,0.447,0.467,0.459,0,0.071,0.046,0.584,0.48,0.494,0.406,0.43,0.424
0.113,0.042,0.085,0.648,0.519,0.536,0.428,0.468,0.459,0.161,0.156,0.16,0.336,0.235,0.32,0.488,0.508,0.5,0.071,0,0.054,0.542,0.441,0.452,0.448,0.476,0.467
0.092,0.063,0.052,0.678,0.553,0.573,0.414,0.45,0.446,0.174,0.174,0.175,0.358,0.262,0.341,0.475,0.495,0.487,0.046,0.054,0,0.569,0.469,0.484,0.432,0.458,0.452
0.61,0.559,0.587,0.183,0.174,0.196,0.823,0.864,0.852,0.445,0.415,0.434,0.387,0.363,0.39,0.873,0.892,0.883,0.584,0.542,0.569,0,0.132,0.126,0.845,0.877,0.865
0.504,0.458,0.487,0.274,0.166,0.196,0.726,0.764,0.752,0.346,0.316,0.337,0.314,0.271,0.311,0.772,0.792,0.782,0.48,0.441,0.469,0.132,0,0.041,0.746,0.777,0.765
0.519,0.47,0.502,0.253,0.14,0.166,0.738,0.778,0.764,0.363,0.332,0.353,0.319,0.279,0.317,0.785,0.805,0.795,0.494,0.452,0.484,0.126,0.041,0,0.759,0.79,0.777
0.383,0.435,0.422,0.951,0.816,0.831,0.044,0.047,0.047,0.491,0.523,0.51,0.681,0.592,0.652,0.173,0.172,0.174,0.406,0.448,0.432,0.845,0.746,0.759,0,0.043,0.032
0.405,0.464,0.447,0.984,0.848,0.863,0.077,0.031,0.057,0.52,0.552,0.54,0.709,0.622,0.68,0.172,0.169,0.172,0.43,0.476,0.458,0.877,0.777,0.79,0.043,0,0.029
0.399,0.454,0.442,0.971,0.833,0.848,0.065,0.039,0.039,0.512,0.543,0.531,0.698,0.611,0.67,0.169,0.167,0.169,0.424,0.467,0.452,0.865,0.765,0.777,0.032,0.029,0
