te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0.008,0.011,0.011,0.998,0.063,0.063,0.018,0.013,0.013,0.018,0.019,0.019,0.136,0.021,0.022,0.003,0.001,0,0.008,0.011,0.011,0.952,0.059,0.059,0.018,0.013,0.013
0,0.007,0.007,1,0.066,0.066,0.019,0.015,0.015,0.018,0.019,0.019,0.136,0.022,0.023,0.008,0.007,0.008,0,0.007,0.007,0.954,0.061,0.061,0.019,0.015,0.015
0.007,0.001,0.001,0.998,0.065,0.065,0.017,0.016,0.017,0.016,0.017,0.017,0.134,0.02,0.021,0.011,0.011,0.011,0.007,0,0.001,0.952,0.06,0.06,0.017,0.016,0.017
0.007,0.001,0.001,0.998,0.065,0.065,0.018,0.017,0.017,0.016,0.018,0.017,0.134,0.02,0.022,0.011,0.011,0.011,0.007,0.001,0,0.952,0.06,0.06,0.018,0.017,0.017
0.954,0.952,0.952,0.117,0.9,0.9,0.937,0.942,0.941,0.938,0.937,0.937,0.939,0.934,0.933,0.951,0.952,0.952,0.954,0.952,0.952,0,0.902,0.902,0.937,0.942,0.942
0.061,0.06,0.06,0.949,0.011,0.011,0.046,0.048,0.048,0.047,0.046,0.046,0.138,0.043,0.042,0.058,0.059,0.059,0.061,0.06,0.06,0.902,0,0,0.046,0.048,0.048
0.061,0.06,0.06,0.949,0.011,0.011,0.046,0.048,0.048,0.047,0.046,0.046,0.138,0.043,0.042,0.058,0.059,0.059,0.061,0.06,0.06,0.902,0,0,0.046,0.048,0.048
0.019,0.017,0.018,0.983,0.051,0.051,0,0.009,0.009,0.006,0.005,0.006,0.133,0.007,0.009,0.017,0.018,0.018,0.019,0.017,0.018,0.937,0.046,0.046,0,0.009,0.009
0.015,0.016,0.017,0.988,0.054,0.054,0.009,0.001,0.001,0.011,0.011,0.011,0.136,0.013,0.015,0.013,0.013,0.013,0.015,0.016,0.017,0.942,0.048,0.048,0.009,0,0
0.015,0.016,0.017,0.988,0.053,0.053,0.009,0.001,0.001,0.011,0.011,0.011,0.136,0.013,0.014,0.013,0.013,0.013,0.015,0.017,0.017,0.942,0.048,0.048,0.009,0,0
